Address;Type;Title;Charset;Description
https://www.proximite.co/;text/html;Clinique Proximité |;utf-8;
https://reseaumaclinique.com/;text/html;"Réseau MAclinique | Ensemble révolutionnons l&#039;accès aux soins de santé";utf-8;"Notre défi est de révolutionner l&#039;accès aux soins de première ligne en créant un milieu de vie de qualité supérieure."
https://lacitemedicale.com/;text/html;La Cité Médicale - Médecine familiale et privée à Québec et Montréal;utf-8;Cliniques médicales à sainte-Foy, Charlesbourg et Montréal. Un service de qualité pour répondre aux besoins de tous : médecine familiale (GMF), sans rendez-vous et médecine spécialisée.
https://cliniquestlouis.com/;text/html;Clinique Saint-Louis | Clinique médicale à Québec;utf-8;
https://centremedicalmesnil.com/accueil;text/html;Centre Médical le Mesnil | Lebourgneuf | Québec;utf-8;Votre santé est au coeur de nos priorités Vous n’avez pas de médecin de famille et désirez prendre rendez-vous? Rendez-vous en ligne Outil d'auto-évaluation des symptômes de la COVID-19 }] Services }]...
https://cliniquemedicaledespromenades.com/;text/html;Clinique médicale des Promenades;utf-8;Bienvenue  à la Clinique médicale des Promenades
http://www.gmf-vb-vc-stc.com/;text/html;"GMF &#8211; Val-B&eacute;lair, Valcartier, Sainte-Catherine &#8211; Site web des cliniques du groupe de m&eacute;decine familiale (GMF) Val-B&eacute;lair/Valcartier/Sainte-Catherine.";utf-8;
https://maizerets.gmfuproactivesante.ca/;text/html;Clinique Maizerets ­· Groupe de médecine de famille universitaire;utf-8;"Groupe de médecine de famille universitaire Maizerets (GMFU) Proactive Santé est une équipe passionnée, dynamique et diversifiée exerçant dans différents champs d&#039;expertises."
http://gmfrtr.ca/;text/html;GMF;;
https://cdsdusommet.ca/;text/html;Accueil - Centre de Santé du Sommet;utf-8;Le Centre de Santé du Sommet a pour mission de favoriser l’accessibilité pour la population de notre territoire à des services de santé.
https://www.cmbmed.com/fr/;text/html;"Brunswick &#8211; Medical";utf-8;
https://www.gmfqe.ca/accueil.php;text/html;Groupe de médecine familiale du Reine Elizabeth;utf-8;Groupe de médecine familiale du Reine Elizabeth - GMF QE
http://www.metromedic.com/;text/html;"Clinique m&eacute;dicale - Metro Medic - Home";iso-8859-1;"Clinique m&eacute;dicale - Metro Medic - Home,M&eacute;tro M&eacute;dic Centre Ville, une clinique m&eacute;dicale &agrave; la fine pointe de la technologie, vous offre des services de m&eacute;decine g&eacute;"
